,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
16,154,149,"Friday, Sep 15",boxscore,ARI,,CHC,W,6,4,,77-72,2,13.5,Pfaadt,Steele,,2:14,N,32864,1.74,+,,.251,.322,.735,8,7,3,4.61
17,155,150,"Saturday, Sep 16",boxscore,ARI,,CHC,W-wo,7,6,13,78-72,2,13.5,Mantiply,Wesneski,,4:24,N,35193,2.04,++,,.251,.322,.734,12,12,0,4.59
18,156,151,"Sunday, Sep 17",boxscore,ARI,,CHC,W,6,2,,79-72,2,13.5,Frías,Wicks,,3:09,D,26307,2.27,+++,,.251,.322,.735,9,7,0,4.57
19,157,152,"Tuesday, Sep 19",boxscore,ARI,,SFG,W,8,4,,80-72,2,14.0,Gallen,Cobb,,2:39,N,26093,2.00,++++,,.252,.323,.736,13,6,1,4.57
20,158,153,"Wednesday, Sep 20",boxscore,ARI,,SFG,W,7,1,,81-72,2,13.0,Kelly,Webb,,2:30,D,16848,1.94,+++++,,.253,.324,.739,14,3,1,4.54
21,159,154,"Friday, Sep 22",boxscore,ARI,@,NYY,L,1,7,,81-73,2,13.5,Weaver,Pfaadt,Brito,2:21,N,39143,1.10,-,,.253,.323,.737,5,12,3,4.55
22,160,155,"Sunday, Sep 24",boxscore,ARI,@,NYY,W,7,1,,82-73,2,14.0,Gallen,Rodón,,3:02,D,39018,1.38,+,,.253,.323,.736,8,6,0,4.53
23,161,156,"Monday, Sep 25",boxscore,ARI,@,NYY,L,4,6,,82-74,2,14.5,Hamilton,Ginkel,Holmes,3:01,D,41096,1.28,-,,.252,.323,.735,8,9,2,4.54
24,162,157,"Tuesday, Sep 26",boxscore,ARI,@,CHW,W,15,4,,83-74,2,14.0,Nelson,Ureña,,2:55,N,14339,1.74,+,,.253,.324,.738,12,9,1,4.54
25,163,158,"Wednesday, Sep 27",boxscore,ARI,@,CHW,W,3,0,,84-74,2,14.0,Pfaadt,Patiño,Sewald,2:28,D,14790,1.09,++,,.252,.323,.736,4,8,0,4.51
26,164,159,"Thursday, Sep 28",boxscore,ARI,@,CHW,L,1,3,,84-75,2,14.0,Banks,Jarvis,Shaw,2:16,D,23522,.25,-,,.251,.323,.734,3,3,2,4.51
27,165,160,"Friday, Sep 29",boxscore,ARI,,HOU,L,1,2,,84-76,2,15.0,Urquidy,Gallen,Pressly,2:30,N,36133,.18,--,,.251,.322,.732,4,8,0,4.49
28,166,161,"Saturday, Sep 30",boxscore,ARI,,HOU,L,0,1,,84-77,2,15.0,Verlander,Kelly,Abreu,2:51,N,36789,.56,---,,.250,.322,.731,5,6,0,4.47
29,168,162,"Sunday, Oct 1",boxscore,ARI,,HOU,L,1,8,,84-78,2,16.0,Javier,Nelson,,2:40,D,30703,.12,----,,.250,.322,.730,6,9,2,4.47
0,137,133,"Tuesday, Aug 29",boxscore,PIT,@,KCR,W,6,3,,60-73,4,14.5,Ortiz,Hernández,,2:40,N,11233,.00,++,,.235,.314,.701,9,6,0,4.55
1,138,134,"Wednesday, Aug 30",boxscore,PIT,@,KCR,W,4,1,,61-73,4,13.5,Jackson,Zerpa,Bednar,2:25,N,10592,.01,+++,,.235,.314,.701,6,4,1,4.53
2,140,135,"Friday, Sep 1",boxscore,PIT,@,STL,W,4,2,10,62-73,4,13.5,Selby,Romero,Bednar,2:42,N,33842,.01,++++,,.235,.313,.700,7,6,1,4.50
3,141,136,"Saturday, Sep 2",boxscore,PIT,@,STL,W,7,6,,63-73,4,13.5,Bolton,VerHagen,Bednar,2:56,N,38276,.01,+++++,,.235,.314,.701,11,8,3,4.51
4,142,137,"Sunday, Sep 3",boxscore,PIT,@,STL,L,4,6,,63-74,4,13.5,Thompson,Oviedo,Gallegos,2:51,D,35856,.02,-,,.235,.314,.700,8,8,1,4.50
5,143,138,"Monday, Sep 4",boxscore,PIT,,MIL,W,4,2,,64-74,4,12.5,Ortiz,Burnes,Bednar,2:22,N,10831,.01,+,,.236,.313,.702,9,6,0,4.48
6,144,139,"Tuesday, Sep 5",boxscore,PIT,,MIL,L,3,7,,64-75,4,13.5,Woodruff,Jackson,,2:42,N,9324,.01,-,,.236,.313,.701,8,7,0,4.49
7,145,140,"Wednesday, Sep 6",boxscore,PIT,,MIL,W,5,4,,65-75,4,12.5,Mlodzinski,Peguero,Bednar,2:46,D,8594,.00,+,,.236,.313,.701,8,8,1,4.49
8,146,141,"Friday, Sep 8",boxscore,PIT,@,ATL,L,2,8,,65-76,4,13.5,Elder,Keller,,2:14,N,40452,.01,-,,.235,.312,.700,6,12,2,4.52
9,147,142,"Saturday, Sep 9",boxscore,PIT,@,ATL,W,8,4,,66-76,4,13.5,Borucki,Dodd,,3:12,N,42866,.00,+,,.236,.313,.703,14,12,1,4.52
10,148,143,"Sunday, Sep 10",boxscore,PIT,@,ATL,L,2,5,,66-77,4,13.5,Hand,Selby,Iglesias,2:25,D,39071,.01,-,,.236,.312,.701,7,7,0,4.52
