,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
52,22,140,2023-9-2,boxscore,ATL,@,LAD,W,4,2,0.667,1,up16.0,Iglesias,N,0.03,5,0.276,0.344,0.845,5,6,0,3.76,1
53,23,141,2023-9-3,boxscore,ATL,@,LAD,L,1,3,0.662,1,up15.0,Graterol,D,0.02,6,0.275,0.344,0.844,5,11,0,3.76,0
54,24,142,2023-9-5,boxscore,ATL,,STL,L,6,10,0.657,1,up14.5,,N,0.03,-1,0.275,0.344,0.845,11,12,4,3.8,0
55,25,143,2023-9-6,boxscore,ATL,,STL,L,6,11,0.652,1,up13.5,,N,0.02,-2,0.275,0.344,0.845,10,14,4,3.85,0
56,26,144,2023-9-7,boxscore,ATL,,STL,W,8,5,0.655,1,up14.0,,N,0.03,-3,0.275,0.344,0.847,10,8,0,3.86,1
57,27,145,2023-9-8,boxscore,ATL,,PIT,W,8,2,0.657,1,up15.0,,N,0.03,1,0.276,0.344,0.848,12,6,1,3.84,1
58,28,146,2023-9-9,boxscore,ATL,,PIT,L,4,8,0.652,1,up14.0,,N,0.03,2,0.276,0.345,0.847,12,14,2,3.87,0
59,29,147,2023-9-10,boxscore,ATL,,PIT,W,5,2,0.655,1,up15.0,Iglesias,D,0.05,-1,0.276,0.344,0.845,7,7,0,3.86,1
60,0,117,2023-8-8,boxscore,BAL,,HOU,L,6,7,0.619,1,up 2.0,Pressly,N,0.94,-1,0.253,0.321,0.744,8,10,1,4.07,0
61,1,118,2023-8-9,boxscore,BAL,,HOU,L,2,8,0.614,1,up 2.0,,N,1.03,-1,0.253,0.321,0.743,7,11,1,4.1,0
62,2,119,2023-8-10,boxscore,BAL,,HOU,W,5,4,0.617,1,up 3.0,Bautista,D,1.17,-2,0.253,0.32,0.744,8,10,2,4.09,1
63,3,120,2023-8-11,boxscore,BAL,@,SEA,L,2,9,0.612,1,up 2.0,,N,1.01,1,0.252,0.32,0.742,4,12,3,4.14,0
64,4,121,2023-8-12,boxscore,BAL,@,SEA,W,1,0,0.615,1,up 2.0,,N,1.14,-1,0.251,0.318,0.738,4,4,0,4.1,1
65,5,122,2023-8-13,boxscore,BAL,@,SEA,W,5,3,0.619,1,up 3.0,Fujinami,D,1.0,1,0.251,0.318,0.737,9,6,1,4.09,1
66,6,123,2023-8-14,boxscore,BAL,@,SDP,W,4,1,0.622,1,up 3.0,Bautista,N,0.93,2,0.251,0.318,0.737,9,4,1,4.06,1
67,7,124,2023-8-15,boxscore,BAL,@,SDP,L,3,10,0.617,1,up 3.0,,N,0.86,3,0.251,0.318,0.737,11,13,1,4.12,0
68,8,125,2023-8-16,boxscore,BAL,@,SDP,L,2,5,0.612,1,up 2.0,Hader,N,0.91,-1,0.25,0.317,0.736,5,8,1,4.13,0
69,9,126,2023-8-18,boxscore,BAL,@,OAK,W,9,4,0.615,1,up 2.0,,N,1.03,-2,0.252,0.318,0.738,16,12,0,4.13,1
70,10,127,2023-8-19,boxscore,BAL,@,OAK,W,7,2,0.618,1,up 2.5,,N,0.94,1,0.252,0.318,0.739,9,6,2,4.1,1
71,11,128,2023-8-20,boxscore,BAL,@,OAK,W,12,1,0.621,1,up 3.0,,D,0.91,2,0.253,0.319,0.743,17,4,1,4.08,1
72,12,129,2023-8-22,boxscore,BAL,,TOR,L,3,6,0.616,1,up 2.0,Romano,N,0.92,3,0.253,0.319,0.742,9,12,2,4.08,0
73,13,130,2023-8-23,boxscore,BAL,,TOR,W,7,0,0.619,1,up 2.0,,N,1.09,-1,0.253,0.319,0.743,10,5,0,4.05,1
74,14,131,2023-8-24,boxscore,BAL,,TOR,W,5,3,0.622,1,up 2.0,Bautista,N,1.0,1,0.254,0.319,0.743,10,6,1,4.04,1
75,15,132,2023-8-25,boxscore,BAL,,COL,W,5,4,0.625,1,up 3.0,Coulombe,N,0.9,2,0.254,0.319,0.745,10,7,1,4.04,1
76,16,133,2023-8-26,boxscore,BAL,,COL,W,5,4,0.628,1,up 3.0,Cano,N,0.79,3,0.254,0.319,0.744,6,8,0,4.04,1
