,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
2,120,116,"Friday, Aug 11",boxscore,PIT,,CIN,L,2,9,,52-64,4,10.5,Abbott,Oviedo,,2:48,N,31523,.11,-,,.236,.312,.700,6,11,1,4.59
3,121,117,"Sunday, Aug 13 (1)",boxscore,PIT,,CIN,W,4,2,,53-64,4,11.5,Perdomo,Young,Bednar,2:33,D,28731,.07,+,,.235,.311,.698,3,7,0,4.56
4,122,118,"Sunday, Aug 13 (2)",boxscore,PIT,,CIN,L,5,6,10,53-65,4,11.5,Díaz,Bido,Duarte,3:39,N,21545,.09,-,,.235,.312,.700,9,12,1,4.56
5,123,119,"Monday, Aug 14",boxscore,PIT,@,NYM,L,2,7,,53-66,4,12.0,Miller,Priester,,2:58,N,23151,.05,--,,.235,.311,.698,5,9,3,4.59
6,124,120,"Tuesday, Aug 15",boxscore,PIT,@,NYM,W,7,4,,54-66,4,11.0,Selby,Butto,Bednar,3:12,N,35439,.03,+,,.235,.313,.700,9,7,3,4.58
7,125,121,"Wednesday, Aug 16",boxscore,PIT,@,NYM,L,3,8,,54-67,4,11.0,Megill,Oviedo,,2:54,D,30049,.06,-,,.235,.313,.701,7,9,3,4.61
8,126,122,"Friday, Aug 18",boxscore,PIT,@,MIN,L,1,5,,54-68,4,11.5,López,Jackson,,2:50,N,30687,.03,--,,.235,.313,.701,9,10,1,4.61
9,127,123,"Saturday, Aug 19",boxscore,PIT,@,MIN,W,7,4,,55-68,4,11.5,Keller,Gray,Bednar,3:05,N,23822,.03,+,,.235,.314,.701,8,11,0,4.61
10,128,124,"Sunday, Aug 20",boxscore,PIT,@,MIN,L,0,2,,55-69,4,12.5,Keuchel,Bido,Duran,2:22,D,25987,.02,-,,.234,.313,.698,2,5,0,4.59
11,129,125,"Monday, Aug 21",boxscore,PIT,,STL,W,11,1,,56-69,4,12.0,Falter,Rom,,2:43,N,12270,.02,+,,.235,.314,.702,16,5,1,4.56
12,130,126,"Tuesday, Aug 22",boxscore,PIT,,STL,W,6,3,,57-69,4,12.0,Oviedo,Wainwright,Bednar,2:34,N,11823,.03,++,,.236,.314,.702,8,9,1,4.55
13,131,127,"Wednesday, Aug 23",boxscore,PIT,,STL,L,4,6,,57-70,4,13.0,Thompson,Ortiz,Romero,3:06,D,11504,.03,-,,.236,.315,.703,10,10,0,4.56
14,132,128,"Thursday, Aug 24",boxscore,PIT,,CHC,L,4,5,10,57-71,4,13.5,Palencia,Hatch,Alzolay,2:44,N,14651,.01,--,,.235,.314,.702,6,10,0,4.55
15,133,129,"Friday, Aug 25",boxscore,PIT,,CHC,W,2,1,,58-71,4,13.5,Keller,Hendricks,Bednar,2:12,N,24379,.01,+,,.235,.314,.702,7,5,1,4.52
16,134,130,"Saturday, Aug 26",boxscore,PIT,,CHC,L,6,10,,58-72,4,14.5,Wicks,Bido,Alzolay,3:08,N,34782,.01,-,,.235,.314,.701,7,10,0,4.56
17,135,131,"Sunday, Aug 27",boxscore,PIT,,CHC,L,1,10,,58-73,4,15.5,Assad,Falter,,2:40,D,19154,.01,--,,.234,.313,.698,4,12,1,4.60
18,136,132,"Monday, Aug 28",boxscore,PIT,@,KCR,W,5,0,,59-73,4,15.5,Oviedo,Greinke,,2:16,N,11610,.00,+,,.235,.314,.700,12,2,0,4.57
19,137,133,"Tuesday, Aug 29",boxscore,PIT,@,KCR,W,6,3,,60-73,4,14.5,Ortiz,Hernández,,2:40,N,11233,.00,++,,.235,.314,.701,9,6,0,4.55
20,138,134,"Wednesday, Aug 30",boxscore,PIT,@,KCR,W,4,1,,61-73,4,13.5,Jackson,Zerpa,Bednar,2:25,N,10592,.01,+++,,.235,.314,.701,6,4,1,4.53
21,140,135,"Friday, Sep 1",boxscore,PIT,@,STL,W,4,2,10,62-73,4,13.5,Selby,Romero,Bednar,2:42,N,33842,.01,++++,,.235,.313,.700,7,6,1,4.50
22,141,136,"Saturday, Sep 2",boxscore,PIT,@,STL,W,7,6,,63-73,4,13.5,Bolton,VerHagen,Bednar,2:56,N,38276,.01,+++++,,.235,.314,.701,11,8,3,4.51
23,142,137,"Sunday, Sep 3",boxscore,PIT,@,STL,L,4,6,,63-74,4,13.5,Thompson,Oviedo,Gallegos,2:51,D,35856,.02,-,,.235,.314,.700,8,8,1,4.50
24,143,138,"Monday, Sep 4",boxscore,PIT,,MIL,W,4,2,,64-74,4,12.5,Ortiz,Burnes,Bednar,2:22,N,10831,.01,+,,.236,.313,.702,9,6,0,4.48
25,144,139,"Tuesday, Sep 5",boxscore,PIT,,MIL,L,3,7,,64-75,4,13.5,Woodruff,Jackson,,2:42,N,9324,.01,-,,.236,.313,.701,8,7,0,4.49
26,145,140,"Wednesday, Sep 6",boxscore,PIT,,MIL,W,5,4,,65-75,4,12.5,Mlodzinski,Peguero,Bednar,2:46,D,8594,.00,+,,.236,.313,.701,8,8,1,4.49
27,146,141,"Friday, Sep 8",boxscore,PIT,@,ATL,L,2,8,,65-76,4,13.5,Elder,Keller,,2:14,N,40452,.01,-,,.235,.312,.700,6,12,2,4.52
28,147,142,"Saturday, Sep 9",boxscore,PIT,@,ATL,W,8,4,,66-76,4,13.5,Borucki,Dodd,,3:12,N,42866,.00,+,,.236,.313,.703,14,12,1,4.52
29,148,143,"Sunday, Sep 10",boxscore,PIT,@,ATL,L,2,5,,66-77,4,13.5,Hand,Selby,Iglesias,2:25,D,39071,.01,-,,.236,.312,.701,7,7,0,4.52
0,120,116,"Tuesday, Aug 8",boxscore,CIN,,MIA,L,2,3,,60-56,2,1.5,Garrett,Sims,Robertson,2:28,N,26201,1.41,-,,.250,.327,.742,6,7,1,4.83
1,121,117,"Wednesday, Aug 9",boxscore,CIN,,MIA,L,4,5,,60-57,2,2.5,Scott,Díaz,Robertson,2:35,D,22352,1.37,--,,.250,.326,.742,10,8,3,4.83
2,122,118,"Friday, Aug 11",boxscore,CIN,@,PIT,W,9,2,,61-57,2,2.5,Abbott,Oviedo,,2:48,N,31523,1.16,+,,.250,.327,.743,11,6,1,4.81
3,123,119,"Sunday, Aug 13 (1)",boxscore,CIN,@,PIT,L,2,4,,61-58,2,3.5,Perdomo,Young,Bednar,2:33,D,28731,1.20,-,,.250,.327,.743,7,3,1,4.80
4,124,120,"Sunday, Aug 13 (2)",boxscore,CIN,@,PIT,W,6,5,10,62-58,2,3.5,Díaz,Bido,Duarte,3:39,N,21545,1.11,+,,.251,.328,.744,12,9,3,4.80
5,125,121,"Tuesday, Aug 15",boxscore,CIN,,CLE,L,0,3,,62-59,2,3.5,Allen,Ashcraft,Clase,2:27,N,26290,1.14,-,,.250,.327,.742,6,7,0,4.79
6,126,122,"Wednesday, Aug 16",boxscore,CIN,,CLE,W,7,2,,63-59,2,2.5,Abbott,Syndergaard,,2:47,N,19797,1.13,+,,.251,.328,.743,11,9,1,4.76
7,127,123,"Friday, Aug 18",boxscore,CIN,,TOR,W-wo,1,0,,64-59,2,2.0,Díaz,Hicks,,2:38,N,28504,1.12,++,,.250,.327,.742,4,3,0,4.72
8,128,124,"Saturday, Aug 19",boxscore,CIN,,TOR,L,3,4,,64-60,2,3.0,Bassitt,Williamson,Romano,2:41,N,38461,1.16,-,,.249,.327,.741,6,9,1,4.72
9,129,125,"Sunday, Aug 20",boxscore,CIN,,TOR,L,3,10,,64-61,3,4.0,Ryu,Greene,Francis,2:41,D,31529,1.13,--,,.249,.326,.739,7,12,5,4.75
10,130,126,"Tuesday, Aug 22",boxscore,CIN,@,LAA,W,4,3,,65-61,3,4.0,Ashcraft,Giolito,Díaz,2:30,N,26583,1.03,+,,.249,.326,.739,7,6,3,4.74
11,131,127,"Wednesday, Aug 23 (1)",boxscore,CIN,@,LAA,W,9,4,,66-61,2,3.5,Farmer,Anderson,,3:08,D,28776,1.09,++,,.249,.326,.739,9,10,1,4.73
12,132,128,"Wednesday, Aug 23 (2)",boxscore,CIN,@,LAA,W,7,3,,67-61,2,3.5,Sims,Detmers,,3:09,N,24596,1.18,+++,,.249,.327,.741,12,6,0,4.72
13,133,129,"Thursday, Aug 24",boxscore,CIN,@,ARI,L,2,3,,67-62,3,4.0,Castro,Young,Sewald,2:46,N,18827,1.45,-,,.248,.326,.739,3,10,1,4.71
14,134,130,"Friday, Aug 25",boxscore,CIN,@,ARI,L,8,10,,67-63,3,5.0,Pfaadt,Greene,Ginkel,3:06,N,29500,1.36,--,,.248,.326,.739,8,10,0,4.76
15,135,131,"Saturday, Aug 26",boxscore,CIN,@,ARI,W,8,7,11,68-63,3,5.0,Díaz,Crismatt,Sims,3:35,N,34028,1.40,+,,.249,.326,.741,13,8,1,4.73
16,136,132,"Sunday, Aug 27",boxscore,CIN,@,ARI,L,2,5,,68-64,3,6.0,McGough,Gibaut,Thompson,2:36,D,26574,1.44,-,,.248,.325,.738,4,8,1,4.74
17,137,133,"Monday, Aug 28",boxscore,CIN,@,SFG,L,1,4,,68-65,3,7.0,Harrison,Abbott,Doval,2:25,N,24581,1.36,--,,.247,.325,.736,6,8,0,4.74
18,138,134,"Tuesday, Aug 29",boxscore,CIN,@,SFG,L,1,6,,68-66,3,7.0,Cobb,Williamson,,2:15,N,26078,1.32,---,,.246,.323,.732,1,7,1,4.74
